M,CdX,Doping Site,?H(Cd-rich),?H(Mod),?H(Te-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Descriptors -->,Period,Group,Site,Delta Ion. Rad.,Delta At. Wt.,Delta Cov. Rad.,Delta Ion. En.,Delta At. Rad.,Delta EA,Delta EN,Delta At. Num.,Delta Val.,# Cd Neighbors,# Te Neighbors,Corrected VBM (eV),Corrected CBM (eV),?H(Cd-rich),?H(Mod),?H(Te-rich)
Sc,CdTe,M_i_Te_site,3.644,4.355,5.067,0.776,1.236,1.565,1.916,2.309,2.649,,,4,3,0.75,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,3,4,4.127,4.112,3.754,4.465,5.177
Ti,CdTe,M_i_Te_site,3.539,4.265,5.215,0.357,1.146,1.353,1.734,2.167,2.483,,,4,4,0.75,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3,4,3.855,3.840,3.495,4.221,5.171
V,CdTe,M_i_Te_site,2.941,3.419,4.284,0.250,0.676,1.094,1.692,2.021,2.388,,,4,5,0.75,0.54,50.9415,1.22,650,1.321,50,1.63,23,5,3,4,3.691,3.676,2.945,3.423,4.288
Cr,CdTe,M_i_Te_site,1.830,2.470,3.235,-0.477,-0.073,1.271,1.735,2.106,2.626,,,4,6,0.75,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3,4,3.740,3.725,1.993,2.632,3.398
Mn,CdTe,M_i_Te_site,2.142,2.616,3.279,-0.695,0.941,1.428,1.799,2.176,2.600,,,4,7,0.75,0.67,54.938,1.17,717.4,1.24,0,1.55,25,7,3,4,4.004,3.989,2.106,2.580,3.244
Fe,CdTe,M_i_Te_site,2.699,3.173,4.080,-0.251,0.394,1.423,1.563,2.152,2.375,,,4,8,0.75,0.55,55.847,1.17,759.3,1.241,24,1.83,26,6,3,4,3.701,3.686,2.602,3.076,3.983
Co,CdTe,M_i_Te_site,2.477,2.957,3.907,-0.709,0.385,1.147,1.671,1.981,2.322,,,4,9,0.75,0.65,58.9332,1.16,758,1.253,70,1.88,27,3,3,4,3.584,3.569,2.328,2.809,3.759
Ni,CdTe,M_i_Te_site,2.745,2.488,3.179,-0.627,-0.115,0.660,1.565,1.973,2.301,,,4,10,0.75,0.69,58.6934,1.15,736.7,1.246,111,1.91,28,3,3,4,3.185,3.200,2.688,2.431,3.122
Cu,CdTe,M_i_Te_site,2.598,2.037,2.317,-0.761,-0.424,1.222,1.675,2.035,2.401,,,4,11,0.75,0.73,63.456,1.17,745.4,1.278,118.3,1.9,29,2,3,4,3.584,3.569,2.534,1.973,2.254
Zn,CdTe,M_i_Te_site,1.887,2.361,2.836,-0.660,0.659,0.980,1.613,2.024,2.464,,,4,12,0.75,0.74,65.39,1.25,906.4,1.332,0,1.65,30,2,3,4,3.616,3.601,1.911,2.385,2.860
Y,CdTe,M_i_Te_site,3.497,4.244,5.435,0.879,1.257,1.657,2.091,2.415,2.700,,,5,3,0.75,1.02,88.9059,1.62,616,1.81,0,1.22,39,3,3,4,4.133,4.118,3.919,4.666,5.857
Zr,CdTe,M_i_Te_site,4.454,5.137,6.475,0.733,1.093,1.482,1.835,2.170,2.421,,,5,4,0.75,0.84,91.224,1.45,660,1.6,50,1.33,40,4,3,4,3.967,3.952,4.431,5.114,6.452
Nb,CdTe,M_i_Te_site,4.417,4.746,5.956,0.569,0.838,1.188,1.633,2.008,2.390,,,5,5,0.75,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3,4,3.679,3.664,4.433,4.762,5.972
Mo,CdTe,M_i_Te_site,4.601,4.601,5.353,0.110,0.222,1.275,1.734,2.131,2.623,,,5,6,0.75,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6,3,4,3.759,3.744,4.736,4.736,5.488
Tc,CdTe,M_i_Te_site,4.780,4.780,4.780,-0.454,0.731,1.275,1.577,1.926,2.317,,,5,7,0.75,0.56,98,1.27,702,1.358,70,1.9,43,7,3,4,3.718,3.703,4.577,4.577,4.577
Ru,CdTe,M_i_Te_site,4.146,4.206,5.156,-0.332,0.109,1.023,1.545,2.005,2.153,,,5,8,0.75,0.62,101.07,1.25,711,1.325,110,2.2,44,8,3,4,3.275,3.260,3.904,3.963,4.913
Rh,CdTe,M_i_Te_site,3.458,3.927,4.877,-0.520,0.052,0.558,1.117,1.833,2.138,,,5,9,0.75,0.67,102.9055,1.25,720,1.345,120,2.28,45,6,3,4,3.022,3.007,3.257,3.725,4.675
Pd,CdTe,M_i_Te_site,1.942,1.468,1.933,-0.711,-0.345,0.031,1.527,1.981,2.348,,,5,10,0.75,0.64,106.42,1.28,805,1.375,60,2.2,46,4,3,4,2.583,3.033,1.943,1.469,1.934
Ag,CdTe,M_i_Te_site,1.940,1.566,1.690,-0.725,-0.396,1.272,1.723,2.090,2.522,,,5,11,0.75,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2,3,4,3.654,3.639,2.010,1.636,1.760
Cd,CdTe,M_i_Te_site,1.871,2.346,2.820,-0.622,0.784,1.122,1.710,2.091,2.517,,,5,12,0.75,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2,3,4,3.746,3.731,2.062,2.537,3.011
La,CdTe,M_i_Te_site,4.205,4.916,5.912,0.766,1.170,1.655,2.091,2.379,2.684,,,6,3,0.75,1.16,138.9055,1.25,538.1,1.877,50,1.1,57,3,3,4,3.926,3.911,4.824,5.535,6.531
Hf,CdTe,M_i_Te_site,4.315,4.315,4.315,1.107,1.246,1.510,1.839,2.189,2.479,,,6,4,0.75,0.83,178.49,1.44,642,1.564,0,1.3,72,4,3,4,4.170,4.155,4.028,4.028,4.028
Ta,CdTe,M_i_Te_site,5.774,5.774,5.774,0.737,1.026,1.300,1.645,1.968,2.331,,,6,5,0.75,0.64,180.9479,1.34,761,1.43,60,1.5,73,5,3,4,3.972,3.957,5.561,5.561,5.561
W,CdTe,M_i_Te_site,6.415,6.415,6.415,0.344,0.494,1.252,1.684,2.066,2.416,,,6,6,0.75,0.6,183.85,1.3,770,1.37,60,2.36,74,6,3,4,3.798,3.783,6.434,6.434,6.434
Re,CdTe,M_i_Te_site,6.642,6.642,6.642,-0.204,0.883,1.326,1.683,1.752,2.229,,,6,7,0.75,0.53,186.207,1.28,760,1.37,14,1.9,75,7,3,4,3.856,3.841,6.312,6.312,6.312
Os,CdTe,M_i_Te_site,6.070,6.070,6.070,-0.087,0.332,1.083,1.575,1.894,2.079,,,6,8,0.75,0.63,190.2,1.26,840,1.34,110,2.2,76,8,3,4,3.477,3.462,5.698,5.698,5.698
Ir,CdTe,M_i_Te_site,4.222,4.222,4.553,-0.184,0.221,0.713,1.140,1.691,2.076,,,6,9,0.75,0.63,192.22,1.27,880,1.357,150,2.2,77,3,3,4,3.186,3.171,3.929,3.929,4.261
Pt,CdTe,M_i_Te_site,2.808,2.334,3.169,-0.617,-0.217,0.138,1.462,1.752,2.164,,,6,10,0.75,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4,3,4,2.751,2.931,2.760,2.286,3.122
Au,CdTe,M_i_Te_site,2.916,1.889,2.058,-0.710,-0.380,1.052,1.330,1.911,2.293,,,6,11,0.75,0.85,196.9665,1.34,890.1,1.442,222.74,2.54,79,3,3,4,3.336,3.321,2.810,1.783,1.953
Hg,CdTe,M_i_Te_site,2.108,1.791,2.084,-0.617,0.299,0.603,1.678,2.122,2.514,,,6,12,0.75,1.02,200.59,1.49,1007,1.6,0,2,80,2,3,4,3.244,3.229,2.351,2.034,2.328
Li,CdTe,M_i_old,1.400,1.406,1.644,-0.700,-0.410,1.281,1.767,2.153,2.653,,,2,1,0.5,0.76,6.941,1.23,520.2,1.55,59.8,0.98,3,1,3,3,3.810,3.795,1.686,1.692,1.930
Na,CdTe,M_i_old,1.501,1.738,2.122,-0.697,-0.380,1.338,1.785,2.179,2.671,,,3,1,0.5,1.02,22.98977,1.54,495.8,1.9,52.7,0.93,11,1,3,3,3.948,3.933,1.885,2.122,2.505
K,CdTe,M_i_old,2.533,2.770,3.267,-0.632,-0.316,1.380,1.838,2.218,2.672,,,4,1,0.5,1.51,39.0983,2.03,418.8,2.35,48.36,0.82,19,1,3,3,4.108,4.093,3.255,3.492,3.988
Rb,CdTe,M_i_old,3.106,3.343,3.972,-0.566,-0.264,1.416,1.867,2.254,2.691,,,5,1,0.5,1.61,85.4678,2.16,403,2.48,46.89,0.82,37,4,3,3,4.461,4.446,4.085,4.322,4.951
Cs,CdTe,M_i_old,2.916,3.153,3.847,-0.566,-0.250,1.444,1.864,2.301,2.726,,,6,1,0.5,1.74,132.9054,2.35,375.7,2.67,45.49,0.79,55,1,3,3,4.290,4.275,4.231,4.468,5.163
Be,CdTe,M_i_old,3.394,3.749,4.104,-0.661,1.043,1.726,1.746,2.059,2.443,,,2,2,0.5,0.45,9.01218,0.9,899.4,1.12,-240,1.57,4,2,3,3,3.575,3.560,3.337,3.692,4.047
Mg,CdTe,M_i_old,3.189,3.286,3.761,-0.616,1.022,1.467,1.851,2.283,2.565,,,3,2,0.5,0.72,24.305,1.36,737.7,1.6,-230,1.31,12,2,3,3,3.968,3.953,3.411,3.509,3.984
Ca,CdTe,M_i_old,3.521,3.995,4.470,-0.598,1.070,1.519,1.862,2.273,2.620,,,4,2,0.5,1,40.078,1.74,589.8,1.97,-156,1,20,2,3,3,4.167,4.152,4.115,4.589,5.064
Sr,CdTe,M_i_old,3.970,4.444,4.919,-0.545,1.113,1.554,1.902,2.296,2.660,,,5,2,0.5,1.26,87.62,1.91,549.5,2.15,-168,0.95,38,2,3,3,4.278,4.263,4.847,5.321,5.796
Ba,CdTe,M_i_old,4.442,4.916,5.391,-0.519,1.165,1.556,1.921,2.300,2.624,,,6,2,0.5,1.42,137.33,1.98,502.9,2.22,-52,0.89,56,2,3,3,4.385,4.370,5.717,6.191,6.666
B,CdTe,M_i_old,5.052,5.052,5.052,-0.882,-0.272,0.874,1.581,1.981,2.310,,,2,13,0.5,0.23,10.811,0.82,800.6,0.98,27,2.04,5,3,3,3,3.448,3.433,5.034,5.034,5.034
Al,CdTe,M_i_old,3.060,3.472,4.205,0.771,0.771,1.336,1.769,2.119,2.521,,,3,13,0.5,0.54,26.98154,1.18,577.6,1.43,45,1.61,13,3,3,3,3.651,3.636,3.037,3.449,4.183
Ga,CdTe,M_i_old,2.360,2.745,3.318,0.220,0.220,1.324,1.761,2.135,2.537,,,4,13,0.5,0.62,69.723,1.26,578.8,1.41,29,1.81,31,3,3,3,3.659,3.644,2.429,2.814,3.387
In,CdTe,M_i_old,3.414,3.033,3.704,-0.223,0.183,1.398,1.801,2.175,2.586,,,5,13,0.5,0.8,114.82,1.44,558.3,1.66,29,1.78,49,3,3,3,3.896,3.881,3.675,3.295,3.965
Tl,CdTe,M_i_old,2.738,2.942,3.212,-0.539,-0.171,1.397,1.825,2.203,2.622,,,6,13,0.5,1.59,204.383,1.48,589.3,1.71,30,2.04,81,3,3,3,3.962,3.947,3.180,3.383,3.654
C,CdTe,M_i_old,6.663,6.663,6.663,0.310,0.310,1.183,1.183,1.860,2.418,,,2,14,0.5,0.16,12.011,0.77,1086.4,0.91,122.3,2.55,6,4,3,3,3.199,3.184,6.525,6.525,6.525
Si,CdTe,M_i_old,3.611,3.611,3.611,-0.323,0.151,1.148,1.669,1.994,2.480,,,3,14,0.5,0.26,28.0855,1.11,786.4,1.32,133.6,1.9,14,4,3,3,3.694,3.679,3.594,3.594,3.594
Ge,CdTe,M_i_old,3.017,3.017,3.330,-0.651,0.314,1.165,1.702,2.045,2.447,,,4,14,0.5,0.53,72.61,1.22,762.1,1.37,120,2.01,32,4,3,3,3.745,3.730,3.034,3.034,3.348
Sn,CdTe,M_i_old,3.155,3.430,3.905,-0.634,1.052,1.440,1.759,2.110,2.522,,,5,14,0.5,0.71,118.71,1.41,708.6,1.62,121,1.96,50,4,3,3,3.900,3.885,3.435,3.709,4.184
Pb,CdTe,M_i_old,3.306,3.780,4.255,-0.562,0.717,1.395,1.800,2.092,2.587,,,6,14,0.5,1.19,207.2,1.47,715.5,1.75,110,2.33,82,4,3,3,4.033,4.018,3.586,4.060,4.535
N,CdTe,M_i_old,4.500,4.421,4.342,-0.080,0.076,0.928,1.312,1.810,2.138,,,2,15,0.5,1.71,14.0067,0.75,1402.3,0.92,-7,3.04,7,5,3,3,2.337,2.322,4.666,4.587,4.508
P,CdTe,M_i_old,3.602,3.365,3.309,-0.751,0.056,1.156,1.448,1.724,2.266,,,3,15,0.5,0.17,30.97376,1.06,1011.7,1.28,71.7,2.19,15,5,3,3,3.879,3.864,3.448,3.211,3.156
As,CdTe,M_i_old,3.530,3.007,3.030,-0.587,0.023,1.213,1.539,1.841,2.381,,,4,15,0.5,0.58,74.9216,1.2,947,1.39,77,2.16,33,5,3,3,4.039,4.024,3.461,2.938,2.960
Sb,CdTe,M_i_old,4.800,5.511,6.223,-0.631,0.227,1.289,1.606,1.986,2.358,,,5,15,0.5,0.76,121.757,1.4,833.7,1.59,101,2.05,51,5,3,3,3.889,3.874,5.023,5.734,6.446
Bi,CdTe,M_i_old,3.429,3.429,4.026,-0.601,0.428,1.343,1.689,2.089,2.427,,,6,15,0.5,1.03,208.9804,1.46,703.3,1.7,110,2.02,83,5,3,3,4.225,4.210,3.814,3.814,4.411
O,CdTe,M_i_old,3.745,3.271,3.050,-0.823,-0.505,-0.196,0.218,0.459,2.365,,,2,16,0.5,1.4,15.9994,0.73,1313.9,0.73,141.1,3.44,8,2,3,3,2.354,2.339,3.788,3.314,3.092
S,CdTe,M_i_old,3.849,3.375,2.901,-0.640,0.345,0.415,0.875,1.293,2.190,,,3,16,0.5,0.29,32.066,1.02,999.58,1.27,200.42,2.58,16,6,3,3,2.499,2.484,3.538,3.064,2.590
Se,CdTe,M_i_old,3.814,3.340,2.866,-0.557,0.393,0.606,1.048,1.476,2.228,,,4,16,0.5,0.5,78.96,1.16,940.9,1.4,194.96,2.55,34,6,3,3,2.914,2.899,3.790,3.316,2.842
Te,CdTe,M_i_old,3.993,3.518,3.044,-0.584,0.604,0.872,1.236,1.675,2.287,,,5,16,0.5,0.97,127.6,1.36,869.2,1.6,190.15,2.1,52,6,3,3,3.912,3.897,4.232,3.757,3.283
F,CdTe,M_i_old,2.605,2.368,2.131,-0.833,-0.529,-0.229,0.074,1.783,2.250,,,2,17,0.5,1.33,18.9984,0.72,1681,0.72,328,3.98,9,1,3,3,1.551,1.536,2.085,1.848,1.611
Cl,CdTe,M_i_old,2.966,2.729,2.492,-0.680,-0.371,0.021,0.428,1.884,2.324,,,3,17,0.5,1.81,35.4527,0.99,1251.1,0.99,348.8,3.16,17,7,3,3,2.320,2.305,2.993,2.756,2.519
Br,CdTe,M_i_old,2.998,2.761,2.524,-0.647,-0.368,-0.072,0.230,1.915,2.374,,,4,17,0.5,1.96,79.904,1.14,1139.9,1.14,324.6,2.96,35,7,3,3,2.778,2.763,3.466,3.229,2.992
I,CdTe,M_i_old,3.870,3.633,3.396,-0.334,0.007,0.450,0.924,1.988,2.443,,,5,17,0.5,2.2,126.9045,1.33,1008.4,1.33,295.3,2.66,53,7,3,3,3.438,3.423,4.428,4.191,3.954
Sc,CdTe,M_i_old,4.050,4.761,5.473,1.018,1.018,1.433,1.763,2.138,2.541,,,4,3,0.5,0.75,44.9559,1.44,631,1.606,18.1,1.36,21,3,3,3,3.859,3.844,4.100,4.811,5.523
Ti,CdTe,M_i_old,3.340,4.065,5.015,0.298,0.956,1.353,1.741,2.132,2.547,,,4,4,0.5,0.61,47.88,1.32,658,1.448,20,1.54,22,4,3,3,3.799,3.784,3.667,4.393,5.343
V,CdTe,M_i_old,2.879,3.357,4.223,0.141,0.607,1.184,1.683,2.049,2.436,,,4,5,0.5,0.54,50.9415,1.22,650,1.321,50,1.63,23,5,3,3,3.648,3.633,3.031,3.509,4.374
Cr,CdTe,M_i_old,1.978,2.617,3.383,-0.629,-0.152,1.284,1.722,2.112,2.557,,,4,6,0.5,0.62,51.996,1.18,652.8,1.249,64,1.66,24,6,3,3,3.794,3.779,2.132,2.772,3.537
Mn,CdTe,M_i_old,2.144,2.618,3.281,-0.741,0.676,1.272,1.699,1.999,2.426,,,4,7,0.5,0.67,54.938,1.17,717.4,1.24,0,1.55,25,7,3,3,3.679,3.664,2.156,2.630,3.293
Fe,CdTe,M_i_old,2.303,2.777,3.684,-0.764,0.304,1.176,1.652,2.295,2.295,,,4,8,0.5,0.55,55.847,1.17,759.3,1.241,24,1.83,26,6,3,3,3.525,3.510,2.353,2.827,3.734
Co,CdTe,M_i_old,2.084,2.564,3.514,-0.674,0.129,0.901,1.572,1.957,2.251,,,4,9,0.5,0.65,58.9332,1.16,758,1.253,70,1.88,27,3,3,3,3.641,3.626,2.056,2.537,3.487
Ni,CdTe,M_i_old,2.295,2.038,2.729,-0.699,-0.203,0.416,1.539,1.973,2.349,,,4,10,0.5,0.69,58.6934,1.15,736.7,1.246,111,1.91,28,3,3,3,3.018,3.003,2.298,2.042,2.732
Cu,CdTe,M_i_old,2.498,1.937,2.217,-0.738,-0.400,1.263,1.718,2.082,2.428,,,4,11,0.5,0.73,63.456,1.17,745.4,1.278,118.3,1.9,29,2,3,3,3.641,3.626,2.528,1.967,2.248
Zn,CdTe,M_i_old,2.211,2.685,3.160,-0.660,0.982,0.991,1.678,2.056,2.445,,,4,12,0.5,0.74,65.39,1.25,906.4,1.332,0,1.65,30,2,3,3,3.724,3.709,2.336,2.810,3.285
Y,CdTe,M_i_old,4.121,4.869,6.059,0.709,1.065,1.491,1.816,2.167,2.548,,,5,3,0.5,1.02,88.9059,1.62,616,1.81,0,1.22,39,3,3,3,4.047,4.032,4.358,5.106,6.297
Zr,CdTe,M_i_old,4.134,4.818,6.155,0.606,0.951,1.364,1.773,2.063,2.201,,,5,4,0.5,0.84,91.224,1.45,660,1.6,50,1.33,40,4,3,3,3.768,3.753,4.650,5.334,6.671
Nb,CdTe,M_i_old,4.494,4.823,6.033,-0.475,1.028,1.114,1.659,2.072,2.411,,,5,5,0.5,0.64,92.9064,1.34,664,1.429,96,1.6,41,5,3,3,3.724,3.709,4.625,4.954,6.164
Mo,CdTe,M_i_old,4.701,4.701,5.454,-0.135,0.215,1.230,1.666,1.979,2.335,,,5,6,0.5,0.59,95.94,1.3,684.9,1.362,96,2.16,42,6,3,3,3.590,3.575,4.769,4.769,5.521
Tc,CdTe,M_i_old,4.277,4.277,4.277,-0.527,0.371,0.809,1.528,2.013,2.255,,,5,7,0.5,0.56,98,1.27,702,1.358,70,1.9,43,7,3,3,3.169,3.154,4.187,4.187,4.187
Ru,CdTe,M_i_old,3.813,3.872,4.822,-0.357,-0.156,0.823,1.355,1.952,2.203,,,5,8,0.5,0.62,101.07,1.25,711,1.325,110,2.2,44,8,3,3,3.092,3.077,3.738,3.798,4.748
Rh,CdTe,M_i_old,3.104,3.573,4.523,-0.467,-0.191,0.466,1.033,1.865,2.285,,,5,9,0.5,0.67,102.9055,1.25,720,1.345,120,2.28,45,6,3,3,2.812,2.797,2.979,3.448,4.398
Pd,CdTe,M_i_old,1.693,1.219,1.684,-0.707,-0.349,0.053,1.543,2.002,2.401,,,5,10,0.5,0.64,106.42,1.28,805,1.375,60,2.2,46,4,3,3,2.597,2.852,1.695,1.221,1.686
Ag,CdTe,M_i_old,2.016,1.641,1.765,-0.707,-0.368,1.301,1.707,2.142,2.611,,,5,11,0.5,1.15,107.868,1.34,731,1.444,125.7,1.93,47,2,3,3,3.754,3.739,2.127,1.752,1.876
Cd,CdTe,M_i_old,2.178,2.652,3.127,-0.669,0.734,1.090,1.750,2.111,2.503,,,5,12,0.5,0.95,112.41,1.41,867.7,1.489,0,1.69,48,2,3,3,3.857,3.842,2.450,2.924,3.399
La,CdTe,M_i_old,4.672,5.383,6.379,0.592,1.063,1.504,1.875,2.224,2.553,,,6,3,0.5,1.16,138.9055,1.25,538.1,1.877,50,1.1,57,3,3,3,4.137,4.122,5.355,6.066,7.061
Hf,CdTe,M_i_old,3.777,3.777,3.777,0.948,0.958,1.362,1.731,2.136,2.240,,,6,4,0.5,0.83,178.49,1.44,642,1.564,0,1.3,72,4,3,3,3.806,3.791,4.154,4.154,4.154
Ta,CdTe,M_i_old,5.548,5.548,5.548,-0.242,0.988,1.388,1.733,2.066,1.053,,,6,5,0.5,0.64,180.9479,1.34,761,1.43,60,1.5,73,5,3,3,3.727,3.712,5.570,5.570,5.570
W,CdTe,M_i_old,6.270,6.270,6.270,0.337,0.552,1.220,1.644,2.006,2.266,,,6,6,0.5,0.6,183.85,1.3,770,1.37,60,2.36,74,6,3,3,3.567,3.552,6.308,6.308,6.308
Re,CdTe,M_i_old,5.922,5.922,5.922,-0.223,0.488,0.863,1.510,1.880,2.266,,,6,7,0.5,0.53,186.207,1.28,760,1.37,14,1.9,75,7,3,3,3.442,3.427,5.974,5.974,5.974
Os,CdTe,M_i_old,5.264,5.264,5.264,-0.119,0.090,0.705,1.477,1.943,2.236,,,6,8,0.5,0.63,190.2,1.26,840,1.34,110,2.2,76,8,3,3,3.333,3.318,5.313,5.313,5.313
Ir,CdTe,M_i_old,3.515,3.515,3.846,-0.201,-0.019,0.598,1.087,1.871,2.279,,,6,9,0.5,0.63,192.22,1.27,880,1.357,150,2.2,77,3,3,3,3.006,2.991,3.397,3.397,3.729
Pt,CdTe,M_i_old,2.251,1.777,2.613,-0.603,-0.272,0.166,1.531,1.987,2.385,,,6,10,0.5,0.63,195.08,1.3,870,1.38,205.3,2.28,78,4,3,3,2.781,2.766,2.238,1.764,2.600
Au,CdTe,M_i_old,2.811,1.784,1.954,-0.696,-0.353,1.172,1.536,2.044,2.381,,,6,11,0.5,0.85,196.9665,1.34,890.1,1.442,222.74,2.54,79,3,3,3,3.584,3.569,2.754,1.727,1.897
Hg,CdTe,M_i_old,2.425,2.108,2.401,-0.619,0.473,0.700,1.681,2.101,2.502,,,6,12,0.5,1.02,200.59,1.49,1007,1.6,0,2,80,2,3,3,3.683,3.668,2.770,2.454,2.747
