M,CdX,Doping Site,?H(Cd-rich),?H(Mod),?H(Te-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),,Descriptors -->,Period,Group,Site,Delta Ion. Rad.,Delta At. Wt.,Delta Cov. Rad.,Delta Ion. En.,Delta At. Rad.,Delta EA,Delta EN,Delta At. Num.,Delta Val.,# Cd Neighbors,# Te Neighbors,Corrected VBM (eV),Corrected CBM (eV),?H(Cd-rich),?H(Mod),?H(Te-rich)
Zr,CdTe,M_Cd,2.094,2.304,3.167,-0.777,0.574,1.037,1.623,2.093,2.478,,,5,4,0,-0.11,-21.186,0.04,-207.7,0.111,50,-0.36,-8,2,0,4,3.362,3.347,2.148,2.358,3.222
Nb,CdTe,M_Cd,2.654,2.509,3.245,-0.218,-0.041,1.038,1.601,2.008,2.359,,,5,5,0,-0.31,-19.5036,-0.07,-203.7,-0.06,96,-0.09,-7,3,0,4,3.085,3.070,2.486,2.341,3.077
Mo,CdTe,M_Cd,3.513,3.039,3.318,-0.737,0.258,0.698,1.185,1.873,2.347,,,5,6,0,-0.36,-16.47,-0.11,-182.8,-0.127,96,0.47,-6,4,0,4,2.870,2.854,3.382,2.908,3.187
Tc,CdTe,M_Cd,3.311,2.837,2.363,-0.567,0.135,0.214,1.302,1.742,2.148,,,5,7,0,-0.39,-14.41,-0.14,-165.7,-0.131,70,0.21,-5,5,0,4,2.500,2.485,3.356,2.882,2.408
Ru,CdTe,M_Cd,3.139,2.724,3.200,-0.884,-0.072,0.351,0.777,1.608,2.145,,,5,8,0,-0.33,-11.34,-0.16,-156.7,-0.164,110,0.51,-4,6,0,4,2.614,2.599,2.877,2.462,2.938
Rh,CdTe,M_Cd,2.018,2.012,2.488,-0.734,-0.321,0.030,0.841,1.424,1.922,,,5,9,0,-0.28,-9.5045,-0.16,-147.7,-0.144,120,0.59,-3,4,0,4,2.403,2.388,2.848,2.843,3.319
Pd,CdTe,M_Cd,2.693,1.745,1.736,-0.832,-0.462,-0.065,0.464,1.031,2.099,,,5,10,0,-0.31,-5.99,-0.13,-62.7,-0.114,60,0.51,-2,2,0,4,1.962,1.947,2.528,1.580,1.571
Ag,CdTe,M_Cd,1.788,0.939,0.589,-0.871,-0.526,-0.220,0.149,1.794,2.248,,,5,11,0,0.2,-4.542,-0.07,-136.7,-0.045,125.7,0.24,-1,0,0,4,1.535,1.520,1.752,0.904,0.554
Cd,CdTe,M_Cd,0.000,0.000,0.000,-0.803,-0.524,-0.199,1.525,1.987,2.371,,,5,12,0,0,0,0,0,0,0,0,0,0,0,4,1.746,2.886,0.000,0.000,0.000
La,CdTe,M_Cd,1.842,2.079,2.600,-0.735,-0.441,1.300,1.862,2.227,2.562,,,6,3,0,0.21,26.4955,-0.16,-329.6,0.388,50,-0.59,9,1,0,4,3.630,3.615,2.242,2.479,3.000
Hf,CdTe,M_Cd,1.640,1.166,0.692,-0.780,0.771,1.184,1.656,1.986,2.370,,,6,4,0,-0.12,66.08,0.03,-225.7,0.075,0,-0.39,24,2,0,4,3.456,3.441,1.556,1.082,0.608
Ta,CdTe,M_Cd,3.261,2.787,2.313,-0.117,0.231,1.085,1.641,2.074,2.395,,,6,5,0,-0.31,68.5379,-0.07,-106.7,-0.059,60,-0.19,25,3,0,4,3.204,3.189,3.240,2.766,2.292
W,CdTe,M_Cd,4.735,4.261,3.787,-0.545,0.460,0.917,1.380,1.718,2.358,,,6,6,0,-0.35,71.44,-0.11,-97.7,-0.119,60,0.67,26,4,0,4,3.111,3.096,4.428,3.954,3.480
Re,CdTe,M_Cd,4.700,4.226,3.752,-0.396,0.415,0.468,1.177,1.788,2.113,,,6,7,0,-0.42,73.797,-0.13,-107.7,-0.119,14,0.21,27,5,0,4,2.859,2.844,4.349,3.875,3.401
Os,CdTe,M_Cd,4.274,3.800,3.326,-0.808,0.104,0.531,0.974,1.627,2.187,,,6,8,0,-0.32,77.79,-0.15,-27.7,-0.149,110,0.51,28,6,0,4,2.947,2.932,3.916,3.442,2.968
Ir,CdTe,M_Cd,3.526,3.052,2.910,-0.596,-0.206,0.197,0.957,1.443,1.945,,,6,9,0,-0.32,79.81,-0.14,12.3,-0.132,150,0.51,29,1,0,4,2.730,2.715,2.803,2.329,2.186
Pt,CdTe,M_Cd,2.841,1.893,2.254,-0.721,-0.387,0.052,0.587,1.127,2.110,,,6,10,0,-0.32,82.67,-0.11,2.3,-0.109,205.3,0.59,30,2,0,4,2.310,2.295,2.666,1.718,2.080
Au,CdTe,M_Cd,2.661,1.160,0.856,-0.879,-0.468,-0.154,0.236,1.782,2.238,,,6,11,0,-0.1,84.5565,-0.07,22.4,-0.047,222.74,0.85,31,1,0,4,1.800,1.785,2.544,1.043,0.739
Hg,CdTe,M_Cd,1.133,0.343,0.162,-0.797,-0.515,-0.188,1.498,1.970,2.386,,,6,12,0,0.07,88.18,0.08,139.3,0.111,0,0.31,32,0,0,4,1.907,2.748,1.124,0.333,0.153
Li,CdTe,M_Te,3.684,4.165,4.877,0.233,0.365,0.994,1.267,1.621,1.937,,,2,1,1,-0.21,-120.659,-0.13,-349,-0.05,-130.35,-1.12,-49,-5,4,0,2.727,2.712,3.142,3.623,4.335
Na,CdTe,M_Te,3.178,3.890,4.747,0.347,0.541,1.240,1.530,1.977,2.257,,,3,1,1,0.05,-104.61023,0.18,-373.4,0.3,-137.45,-1.17,-41,-5,4,0,3.083,3.068,2.788,3.499,4.357
K,CdTe,M_Te,3.754,4.466,5.436,0.813,1.200,1.490,1.776,2.188,2.524,,,4,1,1,0.54,-88.5017,0.67,-450.4,0.75,-141.79,-1.28,-33,-5,4,0,3.952,3.937,3.662,4.373,5.344
Rb,CdTe,M_Te,3.760,4.471,5.574,0.800,1.355,1.587,1.888,2.262,2.544,,,5,1,1,0.64,-42.1322,0.8,-466.2,0.88,-143.26,-1.28,-15,-2,4,0,4.023,4.008,3.784,4.496,5.599
Cs,CdTe,M_Te,3.370,4.081,5.250,0.869,1.241,1.596,1.716,1.771,2.039,,,6,1,1,0.77,5.3054,0.99,-493.5,1.07,-144.66,-1.31,3,-5,4,0,4.048,4.032,3.988,4.700,5.868
Be,CdTe,M_Te,3.762,4.592,5.421,-0.716,0.166,0.252,0.573,1.098,1.546,,,2,2,1,-0.52,-118.58782,-0.46,30.2,-0.48,-430.15,-0.53,-48,-4,4,0,2.244,2.229,3.296,4.125,4.954
Mg,CdTe,M_Te,3.789,4.360,5.310,-0.682,0.674,0.893,1.157,1.535,2.016,,,3,2,1,-0.25,-103.295,0,-131.5,0,-420.15,-0.79,-40,-4,4,0,3.047,3.032,3.084,3.656,4.605
Ca,CdTe,M_Te,5.151,6.100,7.049,-0.066,0.772,1.172,1.443,1.823,2.252,,,4,2,1,0.03,-87.522,0.38,-279.4,0.37,-346.15,-1.1,-32,-4,4,0,3.372,3.357,4.612,5.560,6.510
Sr,CdTe,M_Te,5.331,6.279,7.229,0.249,0.962,1.298,1.675,1.960,2.370,,,5,2,1,0.29,-39.98,0.55,-319.7,0.55,-358.15,-1.15,-14,-4,4,0,3.638,3.623,5.036,5.984,6.933
Ba,CdTe,M_Te,5.676,6.625,7.574,0.673,1.057,1.420,1.721,2.060,2.445,,,6,2,1,0.45,9.73,0.62,-366.3,0.62,-242.15,-1.21,4,-4,4,0,4.156,4.141,5.496,6.444,7.393
B,CdTe,M_Te,4.479,4.953,5.428,-0.905,-0.584,-0.263,0.233,0.635,1.031,,,2,13,1,-0.74,-116.789,-0.54,-68.6,-0.62,-163.15,-0.06,-47,-3,4,0,1.518,1.503,4.687,5.162,5.636
Al,CdTe,M_Te,2.599,3.485,4.693,-0.100,-0.053,0.215,0.778,1.160,1.537,,,3,13,1,-0.43,-100.61846,-0.18,-291.6,-0.17,-145.15,-0.49,-39,-3,4,0,2.394,2.379,2.203,3.089,4.297
Ga,CdTe,M_Te,2.157,3.017,4.064,0.134,0.043,0.262,0.798,1.168,1.543,,,4,13,1,-0.35,-57.877,-0.1,-290.4,-0.19,-161.15,-0.29,-21,-3,4,0,2.425,2.410,1.744,2.604,3.651
In,CdTe,M_Te,2.792,2.886,4.031,0.202,0.267,0.470,0.964,1.365,1.738,,,5,13,1,-0.17,-12.78,0.08,-310.9,0.06,-161.15,-0.32,-3,-3,4,0,2.715,2.700,2.322,2.416,3.561
Tl,CdTe,M_Te,2.359,3.037,3.782,0.427,0.452,0.631,1.068,1.481,1.825,,,6,13,1,0.62,76.783,0.12,-279.9,0.11,-160.15,-0.06,29,-3,4,0,2.891,2.876,1.869,2.547,3.292
C,CdTe,M_Te,5.059,5.533,6.008,-0.934,-0.644,-0.313,-0.033,0.297,1.890,,,2,14,1,-0.81,-115.589,-0.59,217.2,-0.69,-67.85,0.45,-46,-2,4,0,1.173,1.158,5.564,6.039,6.513
Si,CdTe,M_Te,2.435,2.910,3.384,-0.796,-0.482,-0.122,0.257,0.627,2.045,,,3,14,1,-0.71,-99.5145,-0.25,-82.8,-0.28,-56.55,-0.2,-38,-2,4,0,1.769,1.754,2.272,2.747,3.221
Ge,CdTe,M_Te,1.994,2.468,3.256,-0.687,-0.437,-0.019,0.367,0.724,2.049,,,4,14,1,-0.44,-54.99,-0.14,-107.1,-0.23,-70.15,-0.09,-20,-2,4,0,1.932,1.917,1.749,2.223,3.012
Sn,CdTe,M_Te,1.769,2.517,3.466,-0.536,-0.298,0.191,0.577,0.938,2.098,,,5,14,1,-0.26,-8.89,0.05,-160.6,0.02,-69.15,-0.14,-2,-2,4,0,2.271,2.256,1.440,2.189,3.138
Pb,CdTe,M_Te,2.004,2.952,3.902,-0.395,-0.165,0.377,0.734,1.070,2.128,,,6,14,1,0.22,79.6,0.11,-153.7,0.15,-80.15,0.23,30,-2,4,0,2.492,2.477,1.656,2.604,3.553
N,CdTe,M_Te,2.086,2.481,2.877,-0.970,-0.669,-0.399,-0.077,1.444,1.902,,,2,15,1,0.74,-113.5933,-0.61,533.1,-0.68,-197.15,0.94,-45,-1,4,0,1.209,1.194,2.836,3.231,3.627
P,CdTe,M_Te,0.956,1.193,1.612,-0.903,-0.582,-0.293,0.043,1.738,2.197,,,3,15,1,-0.8,-96.62624,-0.3,142.5,-0.32,-118.45,0.09,-37,-1,4,0,1.304,1.289,1.154,1.391,1.810
As,CdTe,M_Te,1.076,1.027,1.524,-0.873,-0.537,-0.260,0.067,1.741,2.202,,,4,15,1,-0.39,-52.6784,-0.16,77.8,-0.21,-113.15,0.06,-19,-1,4,0,1.453,1.438,1.127,1.078,1.575
Sb,CdTe,M_Te,2.123,3.308,4.495,-0.778,-0.451,-0.155,0.181,1.805,2.262,,,5,15,1,-0.21,-5.843,0.04,-35.5,-0.01,-89.15,-0.05,-1,-1,4,0,1.839,1.824,2.014,3.200,4.387
Bi,CdTe,M_Te,1.038,1.512,2.583,-0.705,-0.377,-0.051,0.283,1.809,2.269,,,6,15,1,0.06,81.3804,0.1,-165.9,0.1,-80.15,-0.08,31,-1,4,0,2.081,2.066,0.865,1.339,2.410
O,CdTe,M_Te,1.172,1.173,1.426,-0.914,-0.647,-0.329,0.949,1.371,2.106,,,2,16,1,0.43,-111.6006,-0.63,444.7,-0.87,-49.05,1.34,-44,-4,4,0,1.244,1.499,1.919,1.919,2.172
S,CdTe,M_Te,0.376,0.376,0.377,-0.859,-0.598,-0.274,1.387,1.858,2.272,,,3,16,1,-0.68,-95.534,-0.34,130.38,-0.33,10.27,0.48,-36,0,4,0,1.437,2.322,0.539,0.540,0.540
